text,label
"Уровень безработицы в 2023 году составил 3.2% согласно данным Росстата.", rational_argument
"Исследование показало, что вакцинация снижает риск госпитализации на 89%.", rational_argument
"Ты что, не любишь свою семью? Тогда купи эту страховку.", emotional_manipulation
"Посмотри на этих несчастных детей — ты обязан помочь прямо сейчас.", emotional_manipulation
"Кто не с нами — тот против нас.", demagogy_tricks
"Если ты критикуешь власть, значит ты хочешь хаоса.", demagogy_tricks
"Враги окружают нас со всех сторон и хотят уничтожить всё что нам дорого.", fear_appeal
"Если мы не примем эти меры — страна погрузится в хаос.", fear_appeal
"Все эксперты согласны что это правильный путь.", authority_appeal
"Великий лидер сказал — значит так и есть.", authority_appeal
